# x_m, y_m, w_tr_right_m, w_tr_left_m
9.6250, -17.0625, 1.3877, 1.3877
9.6875, -17.0625, 1.4170, 1.4170
9.7500, -17.1250, 1.4170, 1.4170
9.8125, -17.1875, 1.4142, 1.4142
9.8750, -17.2500, 1.4142, 1.4142
9.9375, -17.3125, 1.4142, 1.4142
10.0000, -17.3750, 1.4045, 1.4045
10.0625, -17.4375, 1.3877, 1.3877
10.1250, -17.4375, 1.4170, 1.4170
10.1875, -17.5000, 1.4170, 1.4170
10.2500, -17.5625, 1.4142, 1.4142
10.3125, -17.6250, 1.4142, 1.4142
10.3750, -17.6875, 1.4142, 1.4142
10.4375, -17.7500, 1.4045, 1.4045
10.5000, -17.8125, 1.3877, 1.3877
10.5625, -17.8125, 1.4170, 1.4170
10.6250, -17.8750, 1.4170, 1.4170
10.6875, -17.9375, 1.4142, 1.4142
10.7500, -18.0000, 1.4045, 1.4045
10.8125, -18.0625, 1.3877, 1.3877
10.8750, -18.0625, 1.4170, 1.4170
10.9375, -18.1250, 1.4170, 1.4170
11.0000, -18.1875, 1.4142, 1.4142
11.0625, -18.2500, 1.4045, 1.4045
11.1250, -18.3125, 1.3877, 1.3877
11.1875, -18.3125, 1.4170, 1.4170
11.2500, -18.3750, 1.4170, 1.4170
11.3125, -18.4375, 1.4045, 1.4045
11.3750, -18.5000, 1.3877, 1.3877
11.4375, -18.5000, 1.4170, 1.4170
11.5000, -18.5625, 1.4170, 1.4170
11.5625, -18.6250, 1.4142, 1.4142
11.6250, -18.6875, 1.4045, 1.4045
11.6875, -18.7500, 1.3877, 1.3877
11.7500, -18.7500, 1.4170, 1.4170
11.8125, -18.8125, 1.4170, 1.4170
11.8750, -18.8750, 1.4045, 1.4045
11.9375, -18.8750, 1.4045, 1.4045
12.0000, -18.9375, 1.4252, 1.4252
12.0625, -19.0000, 1.4170, 1.4170
12.1250, -19.0625, 1.4045, 1.4045
12.1875, -19.0625, 1.4170, 1.4170
12.2500, -19.1250, 1.4252, 1.4252
12.3125, -19.1875, 1.4045, 1.4045
12.3750, -19.1875, 1.4045, 1.4045
12.4375, -19.2500, 1.4252, 1.4252
12.5000, -19.3125, 1.4045, 1.4045
12.5625, -19.3750, 1.3877, 1.3877
12.6250, -19.3750, 1.4170, 1.4170
12.6875, -19.4375, 1.4170, 1.4170
12.7500, -19.5000, 1.4045, 1.4045
12.8125, -19.5000, 1.4045, 1.4045
12.8750, -19.5625, 1.4252, 1.4252
12.9375, -19.6250, 1.4045, 1.4045
13.0000, -19.6250, 1.4045, 1.4045
13.0625, -19.6875, 1.4252, 1.4252
13.1250, -19.7500, 1.4045, 1.4045
13.1875, -19.7500, 1.4045, 1.4045
13.2500, -19.8125, 1.4252, 1.4252
13.3125, -19.8750, 1.4045, 1.4045
13.3750, -19.8750, 1.4045, 1.4045
13.4375, -19.9375, 1.4252, 1.4252
13.5000, -20.0000, 1.3975, 1.3975
13.5625, -20.0000, 1.4252, 1.4252
13.6250, -20.0625, 1.4045, 1.4045
13.6875, -20.1250, 1.3877, 1.3877
13.7500, -20.1250, 1.4252, 1.4252
13.8125, -20.1875, 1.3975, 1.3975
13.8750, -20.1875, 1.4045, 1.4045
13.9375, -20.2500, 1.4045, 1.4045
14.0000, -20.3125, 1.3877, 1.3877
14.0625, -20.3125, 1.4252, 1.4252
14.1250, -20.3750, 1.4045, 1.4045
14.1875, -20.3750, 1.4045, 1.4045
14.2500, -20.4375, 1.4252, 1.4252
14.3125, -20.5000, 1.3975, 1.3975
14.3750, -20.5000, 1.4045, 1.4045
14.4375, -20.5625, 1.4045, 1.4045
14.5000, -20.5625, 1.3975, 1.3975
14.5625, -20.6250, 1.4252, 1.4252
14.6250, -20.6250, 1.3975, 1.3975
14.6875, -20.6875, 1.4266, 1.4266
14.7500, -20.7500, 1.3975, 1.3975
14.8125, -20.7500, 1.4252, 1.4252
14.8750, -20.8125, 1.4045, 1.4045
14.9375, -20.8125, 1.4045, 1.4045
15.0000, -20.8750, 1.4252, 1.4252
15.0625, -20.8750, 1.3975, 1.3975
15.1250, -20.9375, 1.4266, 1.4266
15.1875, -21.0000, 1.3975, 1.3975
15.2500, -21.0000, 1.4252, 1.4252
15.3125, -21.0625, 1.3975, 1.3975
15.3750, -21.0625, 1.4045, 1.4045
15.4375, -21.1250, 1.4045, 1.4045
15.5000, -21.1250, 1.3975, 1.3975
15.5625, -21.1875, 1.4252, 1.4252
15.6250, -21.1875, 1.3975, 1.3975
15.6875, -21.2500, 1.4266, 1.4266
15.7500, -21.2500, 1.3975, 1.3975
15.8125, -21.3125, 1.4266, 1.4266
15.8750, -21.3750, 1.3975, 1.3975
15.9375, -21.3750, 1.4266, 1.4266
16.0000, -21.4375, 1.3975, 1.3975
16.0625, -21.4375, 1.4266, 1.4266
16.1250, -21.5000, 1.3975, 1.3975
16.1875, -21.5000, 1.4266, 1.4266
16.2500, -21.5625, 1.3975, 1.3975
16.3125, -21.5625, 1.4266, 1.4266
16.3750, -21.6250, 1.3975, 1.3975
16.4375, -21.6250, 1.4266, 1.4266
16.5000, -21.6875, 1.3975, 1.3975
16.5625, -21.6875, 1.4266, 1.4266
16.6250, -21.6875, 1.3975, 1.3975
16.6875, -21.7500, 1.4266, 1.4266
16.7500, -21.7500, 1.3975, 1.3975
16.8125, -21.8125, 1.4252, 1.4252
16.8750, -21.8125, 1.3975, 1.3975
16.9375, -21.8750, 1.4045, 1.4045
17.0000, -21.8750, 1.4045, 1.4045
17.0625, -21.9375, 1.3975, 1.3975
17.1250, -21.9375, 1.4252, 1.4252
17.1875, -22.0000, 1.3975, 1.3975
17.2500, -22.0000, 1.4266, 1.4266
17.3125, -22.0625, 1.3975, 1.3975
17.3750, -22.0625, 1.4252, 1.4252
17.4375, -22.0625, 1.3975, 1.3975
17.5000, -22.1250, 1.4045, 1.4045
17.5625, -22.1250, 1.4045, 1.4045
17.6250, -22.1875, 1.3975, 1.3975
17.6875, -22.1875, 1.4252, 1.4252
17.7500, -22.2500, 1.3975, 1.3975
17.8125, -22.2500, 1.4252, 1.4252
17.8750, -22.2500, 1.3975, 1.3975
17.9375, -22.3125, 1.4045, 1.4045
18.0000, -22.3125, 1.4045, 1.4045
18.0625, -22.3750, 1.3975, 1.3975
18.1250, -22.3750, 1.4252, 1.4252
18.1875, -22.3750, 1.3975, 1.3975
18.2500, -22.4375, 1.4045, 1.4045
18.3125, -22.4375, 1.4045, 1.4045
18.3750, -22.5000, 1.3975, 1.3975
18.4375, -22.5000, 1.4252, 1.4252
18.5000, -22.5000, 1.3975, 1.3975
18.5625, -22.5625, 1.4252, 1.4252
18.6250, -22.5625, 1.4045, 1.4045
18.6875, -22.6250, 1.4045, 1.4045
18.7500, -22.6250, 1.4252, 1.4252
18.8125, -22.6250, 1.4045, 1.4045
18.8750, -22.6875, 1.4045, 1.4045
18.9375, -22.6875, 1.4252, 1.4252
19.0000, -22.7500, 1.3975, 1.3975
19.0625, -22.7500, 1.4252, 1.4252
19.1250, -22.8125, 1.3835, 1.3835
19.1875, -22.8125, 1.4045, 1.4045
19.2500, -22.8125, 1.4252, 1.4252
19.3125, -22.8750, 1.3835, 1.3835
19.3750, -22.8750, 1.4045, 1.4045
19.4375, -22.8750, 1.4045, 1.4045
19.5000, -22.9375, 1.3835, 1.3835
19.5625, -22.9375, 1.4045, 1.4045
19.6250, -22.9375, 1.4045, 1.4045
19.6875, -23.0000, 1.3975, 1.3975
19.7500, -23.0000, 1.4252, 1.4252
19.8125, -23.0000, 1.4045, 1.4045
19.8750, -23.0625, 1.4045, 1.4045
19.9375, -23.0625, 1.4252, 1.4252
20.0000, -23.0625, 1.4045, 1.4045
20.0625, -23.1250, 1.4045, 1.4045
20.1250, -23.1250, 1.4252, 1.4252
20.1875, -23.1250, 1.4045, 1.4045
20.2500, -23.1875, 1.4045, 1.4045
20.3125, -23.1875, 1.4252, 1.4252
20.3750, -23.1875, 1.4045, 1.4045
20.4375, -23.2500, 1.3975, 1.3975
20.5000, -23.2500, 1.4101, 1.4101
20.5625, -23.2500, 1.4045, 1.4045
20.6250, -23.3125, 1.3835, 1.3835
20.6875, -23.3125, 1.4045, 1.4045
20.7500, -23.3125, 1.4045, 1.4045
