# x_m, y_m, w_tr_right_m, w_tr_left_m
-53.0625, 0.0000, 1.4375, 1.4375
-53.0625, -0.0625, 1.4375, 1.4375
-53.0625, -0.1250, 1.4375, 1.4375
-53.0625, -0.1875, 1.4375, 1.4375
-53.0625, -0.2500, 1.4375, 1.4375
-53.0625, -0.3125, 1.4375, 1.4375
-53.0625, -0.3750, 1.4375, 1.4375
-53.0625, -0.4375, 1.4375, 1.4375
-53.0625, -0.5000, 1.4375, 1.4375
-53.0625, -0.5625, 1.4375, 1.4375
-53.0625, -0.6250, 1.4375, 1.4375
-53.0625, -0.6875, 1.4375, 1.4375
-53.0625, -0.7500, 1.4375, 1.4375
-53.0625, -0.8125, 1.4375, 1.4375
-53.0625, -0.8750, 1.4375, 1.4375
-53.0625, -0.9375, 1.4375, 1.4375
-53.0625, -1.0000, 1.4375, 1.4375
-53.0625, -1.0625, 1.4375, 1.4375
-53.0625, -1.1250, 1.4375, 1.4375
-53.0625, -1.1875, 1.4375, 1.4375
-53.0625, -1.2500, 1.4375, 1.4375
-53.0625, -1.3125, 1.4375, 1.4375
-53.0625, -1.3750, 1.4375, 1.4375
-53.0625, -1.4375, 1.4375, 1.4375
-53.0625, -1.5000, 1.4375, 1.4375
-53.0625, -1.5625, 1.4375, 1.4375
-53.0625, -1.6250, 1.4375, 1.4375
-53.0625, -1.6875, 1.4375, 1.4375
-53.0625, -1.7500, 1.4375, 1.4375
-53.0625, -1.8125, 1.4375, 1.4375
-53.0625, -1.8750, 1.4375, 1.4375
-53.0625, -1.9375, 1.4375, 1.4375
-53.0625, -2.0000, 1.4375, 1.4375
-53.0625, -2.0625, 1.4375, 1.4375
-53.0625, -2.1250, 1.4375, 1.4375
-53.0625, -2.1875, 1.4375, 1.4375
-53.0625, -2.2500, 1.4375, 1.4375
-53.0625, -2.3125, 1.4375, 1.4375
-53.0625, -2.3750, 1.4375, 1.4375
-53.0625, -2.4375, 1.4375, 1.4375
-53.0625, -2.5000, 1.4375, 1.4375
-53.0625, -2.5625, 1.4375, 1.4375
-53.0625, -2.6250, 1.4375, 1.4375
-53.0625, -2.6875, 1.4375, 1.4375
-53.0625, -2.7500, 1.4375, 1.4375
-53.0625, -2.8125, 1.4375, 1.4375
-53.0625, -2.8750, 1.4375, 1.4375
-53.0625, -2.9375, 1.4375, 1.4375
-53.0625, -3.0000, 1.4375, 1.4375
-53.0625, -3.0625, 1.4375, 1.4375
