# x_m,y_m,w_tr_right_m,w_tr_left_m
-22.6045,20.8124,1.4909,1.4909
-22.5420,20.8124,1.5258,1.5258
-22.4795,20.8749,1.5130,1.5130
-22.4170,20.8749,1.5130,1.5130
-22.3545,20.9374,1.5258,1.5258
-22.2920,20.9999,1.5373,1.5373
-22.2295,21.0624,1.5117,1.5117
-22.1670,21.1249,1.4909,1.4909
-22.1045,21.1249,1.5258,1.5258
-22.0420,21.1874,1.5117,1.5117
-21.9795,21.2499,1.4909,1.4909
-21.9170,21.2499,1.5026,1.5026
-21.8545,21.3124,1.5052,1.5052
-21.7920,21.3749,1.4909,1.4909
-21.7295,21.4374,1.4751,1.4751
-21.6670,21.4374,1.4909,1.4909
-21.6045,21.4999,1.5026,1.5026
-21.5420,21.5624,1.4909,1.4909
-21.4795,21.6249,1.4751,1.4751
-21.4170,21.6249,1.4644,1.4644
-21.3545,21.6874,1.4751,1.4751
-21.2920,21.7499,1.4909,1.4909
-21.2295,21.8124,1.4751,1.4751
-21.1670,21.8749,1.4644,1.4644
-21.1045,21.9374,1.4577,1.4577
-21.0420,21.9999,1.4389,1.4389
-20.9795,21.9999,1.4591,1.4591
-20.9170,22.0624,1.4591,1.4591
-20.8545,22.1249,1.4591,1.4591
-20.7920,22.1874,1.4591,1.4591
-20.7295,22.2499,1.4591,1.4591
-20.6670,22.3124,1.4591,1.4591
-20.6045,22.3749,1.4591,1.4591
-20.5420,22.4374,1.4591,1.4591
-20.4795,22.4999,1.4591,1.4591
-20.4170,22.5624,1.4591,1.4591
-20.3545,22.6249,1.4591,1.4591
-20.2920,22.6874,1.4591,1.4591
-20.2295,22.7499,1.4591,1.4591
-20.1670,22.8124,1.4591,1.4591
-20.1045,22.8749,1.4591,1.4591
-20.0420,22.9374,1.4591,1.4591
-19.9795,22.9999,1.4591,1.4591
-19.9170,23.0624,1.4591,1.4591
-19.8545,23.1249,1.4577,1.4577
-19.7920,23.1874,1.4389,1.4389
-19.7920,23.2499,1.4389,1.4389
-19.7295,23.3124,1.4577,1.4577
-19.6670,23.3749,1.4591,1.4591
-19.6045,23.4374,1.4577,1.4577
-19.6045,23.4999,1.4389,1.4389
-19.5420,23.5624,1.4577,1.4577
-19.4795,23.6249,1.4644,1.4644
-19.4795,23.6874,1.4389,1.4389
-19.4170,23.7499,1.4577,1.4577
-19.4170,23.8124,1.4252,1.4252
-19.3545,23.8749,1.4389,1.4389
-19.2920,23.9374,1.4577,1.4577
-19.2920,23.9999,1.4266,1.4266
-19.2920,24.0624,1.3975,1.3975
-19.2295,24.1249,1.4280,1.4280
-19.2295,24.1874,1.4045,1.4045
-19.1670,24.2499,1.4429,1.4429
-19.1670,24.3124,1.4252,1.4252
-19.1670,24.3749,1.3975,1.3975
-19.1670,24.4374,1.3707,1.3707
-19.1045,24.4999,1.4045,1.4045
-19.1045,24.5624,1.3835,1.3835
-19.1045,24.6249,1.3650,1.3650
-19.1045,24.6874,1.3492,1.3492
-19.1045,24.7499,1.3361,1.3361
-19.0420,24.8124,1.3835,1.3835
-19.0420,24.8749,1.3650,1.3650
-19.0420,24.9374,1.3492,1.3492
-19.0420,24.9999,1.3361,1.3361
-18.9795,25.0624,1.3877,1.3877
-18.9795,25.1249,1.3807,1.3807
-18.9795,25.1874,1.3764,1.3764
-18.9795,25.2499,1.3750,1.3750
-18.9795,25.3124,1.3750,1.3750
-18.9170,25.3749,1.4375,1.4375
-18.9170,25.4374,1.4375,1.4375
-18.9170,25.4999,1.4375,1.4375
-18.9170,25.5624,1.4375,1.4375
-18.9170,25.6249,1.4375,1.4375
-18.8545,25.6874,1.5000,1.5000
-18.8545,25.7499,1.5000,1.5000
-18.8545,25.8124,1.5000,1.5000
-18.8545,25.8749,1.5000,1.5000
-18.8545,25.9374,1.5000,1.5000
-18.7920,25.9999,1.5625,1.5625
-18.7920,26.0624,1.5625,1.5625
-18.8545,26.1249,1.5000,1.5000
-18.8545,26.1874,1.5013,1.5013
-18.8545,26.2499,1.5052,1.5052
-18.8545,26.3124,1.5117,1.5117
-18.8545,26.3749,1.5207,1.5207
-18.9170,26.4374,1.4711,1.4711
-18.9170,26.4999,1.4856,1.4856
-18.9170,26.5624,1.5026,1.5026
-18.9170,26.6249,1.5220,1.5220
-18.9170,26.6874,1.5436,1.5436
-18.9795,26.7499,1.5026,1.5026
-18.9795,26.8124,1.5220,1.5220
-18.9795,26.8749,1.5436,1.5436
-18.9795,26.9374,1.5675,1.5675
-19.0420,26.9999,1.5373,1.5373
-19.0420,27.0624,1.5662,1.5662
-19.0420,27.1249,1.5934,1.5934
-19.0420,27.1874,1.6214,1.6214
-19.1045,27.2499,1.5934,1.5934
-19.1045,27.3124,1.6214,1.6214
-19.1670,27.3749,1.5934,1.5934
-19.1670,27.4374,1.6214,1.6214
-19.1670,27.4999,1.6512,1.6512
-19.2295,27.5624,1.6298,1.6298
-19.2920,27.6249,1.6129,1.6129
-19.3545,27.6874,1.5971,1.5971
-19.3545,27.7499,1.6298,1.6298
-19.4170,27.8124,1.6129,1.6129
-19.4795,27.8749,1.6008,1.6008
-19.4795,27.9374,1.6358,1.6358
-19.5420,27.9999,1.6358,1.6358
-19.6045,28.0624,1.6358,1.6358
-19.6670,28.1249,1.6358,1.6358
-19.7295,28.1874,1.6358,1.6358
-19.7920,28.2499,1.6358,1.6358
-19.8545,28.3124,1.6358,1.6358
-19.9170,28.3749,1.6358,1.6358
-19.9795,28.4374,1.6358,1.6358
-20.0420,28.4999,1.6298,1.6298
-20.1045,28.5624,1.6129,1.6129
-20.1670,28.6249,1.6008,1.6008
-20.2295,28.6874,1.5934,1.5934
-20.2920,28.6874,1.5934,1.5934
-20.3545,28.7499,1.6008,1.6008
-20.4170,28.8124,1.6008,1.6008
-20.4795,28.8749,1.5934,1.5934
-20.5420,28.9374,1.5774,1.5774
-20.6045,28.9999,1.5625,1.5625
-20.6670,29.0624,1.5220,1.5220
-20.7295,29.0624,1.5436,1.5436
-20.7920,29.1249,1.5104,1.5104
-20.8545,29.1874,1.4817,1.4817
-20.9170,29.1874,1.5104,1.5104
-20.9795,29.2499,1.4817,1.4817
-21.0420,29.2499,1.5117,1.5117
-21.1045,29.3124,1.4909,1.4909
-21.1670,29.3124,1.5258,1.5258
-21.2295,29.3749,1.5104,1.5104
-21.2920,29.3749,1.5117,1.5117
-21.3545,29.4374,1.5117,1.5117
-21.4170,29.4374,1.5104,1.5104
-21.4795,29.4999,1.5258,1.5258
-21.5420,29.4999,1.4909,1.4909
-21.6045,29.5624,1.5117,1.5117
-21.6670,29.6249,1.5104,1.5104
-21.7295,29.6249,1.5104,1.5104
-21.7920,29.6874,1.5117,1.5117
-21.8545,29.6874,1.5104,1.5104
-21.9170,29.7499,1.5258,1.5258
-21.9795,29.7499,1.4909,1.4909
-22.0420,29.8124,1.5117,1.5117
-22.1045,29.8749,1.5104,1.5104
-22.1670,29.8749,1.5104,1.5104
-22.2295,29.9374,1.5117,1.5117
-22.2920,29.9374,1.5104,1.5104
-22.3545,29.9999,1.5258,1.5258
-22.4170,30.0624,1.5104,1.5104
-22.4795,30.0624,1.5117,1.5117
-22.5420,30.1249,1.5117,1.5117
-22.6045,30.1249,1.5104,1.5104
-22.6670,30.1874,1.5258,1.5258
-22.7295,30.1874,1.4909,1.4909
-22.7920,30.2499,1.5117,1.5117
-22.8545,30.3124,1.5104,1.5104
-22.9170,30.3124,1.5104,1.5104
-22.9795,30.3749,1.5117,1.5117
-23.0420,30.3749,1.5104,1.5104
-23.1045,30.4374,1.5258,1.5258
-23.1670,30.4374,1.4909,1.4909
-23.2295,30.4999,1.5117,1.5117
-23.2920,30.5624,1.5104,1.5104
-23.3545,30.5624,1.5104,1.5104
-23.4170,30.6249,1.5117,1.5117
-23.4795,30.6249,1.5104,1.5104
-23.5420,30.6874,1.5258,1.5258
-23.6045,30.7499,1.5104,1.5104
-23.6670,30.7499,1.5117,1.5117
-23.7295,30.8124,1.5117,1.5117
-23.7920,30.8124,1.5104,1.5104
-23.8545,30.8749,1.5258,1.5258
-23.9170,30.8749,1.4909,1.4909
-23.9795,30.9374,1.5117,1.5117
-24.0420,30.9999,1.5104,1.5104
-24.1045,30.9999,1.5104,1.5104
-24.1670,31.0624,1.5117,1.5117
-24.2295,31.0624,1.5104,1.5104
-24.2920,31.1249,1.5258,1.5258
-24.3545,31.1249,1.4909,1.4909
-24.4170,31.1874,1.5117,1.5117
-24.4795,31.2499,1.5104,1.5104
-24.5420,31.2499,1.5104,1.5104
-24.6045,31.3124,1.5117,1.5117
-24.6670,31.3124,1.5104,1.5104
-24.7295,31.3749,1.5258,1.5258
-24.7920,31.3749,1.4909,1.4909
-24.8545,31.4374,1.5117,1.5117
-24.9170,31.4999,1.5117,1.5117
-24.9795,31.4999,1.5104,1.5104
-25.0420,31.5624,1.5258,1.5258
-25.1045,31.5624,1.5104,1.5104
-25.1670,31.6249,1.5258,1.5258
-25.2295,31.6874,1.5104,1.5104
-25.2920,31.6874,1.5117,1.5117
-25.3545,31.7499,1.5117,1.5117
-25.4170,31.7499,1.5104,1.5104
-25.4795,31.8124,1.5258,1.5258
-25.5420,31.8124,1.4909,1.4909
-25.6045,31.8749,1.5117,1.5117
-25.6670,31.9374,1.5104,1.5104
-25.7295,31.9374,1.5104,1.5104
-25.7920,31.9999,1.5117,1.5117
-25.8545,31.9999,1.5104,1.5104
-25.9170,32.0624,1.5258,1.5258
-25.9795,32.0624,1.4909,1.4909
-26.0420,32.1249,1.5117,1.5117
-26.1045,32.1874,1.5117,1.5117
-26.1670,32.1874,1.5104,1.5104
-26.2295,32.2499,1.5258,1.5258
-26.2920,32.2499,1.5104,1.5104
-26.3545,32.3124,1.5258,1.5258
-26.4170,32.3749,1.5104,1.5104
-26.4795,32.3749,1.5117,1.5117
-26.5420,32.4374,1.5117,1.5117
-26.6045,32.4374,1.5104,1.5104
-26.6670,32.4999,1.5258,1.5258
-26.7295,32.4999,1.4909,1.4909
-26.7920,32.5624,1.5117,1.5117
-26.8545,32.6249,1.5104,1.5104
-26.9170,32.6249,1.5104,1.5104
-26.9795,32.6874,1.5117,1.5117
-27.0420,32.6874,1.5104,1.5104
-27.1045,32.7499,1.5258,1.5258
-27.1670,32.7499,1.4909,1.4909
-27.2295,32.8124,1.5117,1.5117
-27.2920,32.8749,1.5104,1.5104
-27.3545,32.8749,1.5104,1.5104
-27.4170,32.9374,1.5117,1.5117
-27.4795,32.9374,1.5104,1.5104
-27.5420,32.9999,1.5258,1.5258
-27.6045,32.9999,1.4909,1.4909
-27.6670,33.0624,1.5117,1.5117
-27.7295,33.1249,1.5117,1.5117
-27.7920,33.1249,1.5104,1.5104
-27.8545,33.1874,1.5258,1.5258
-27.9170,33.1874,1.5104,1.5104
-27.9795,33.2499,1.5258,1.5258
-28.0420,33.2499,1.4909,1.4909
-28.1045,33.3124,1.5117,1.5117
-28.1670,33.3749,1.5117,1.5117
-28.2295,33.3749,1.5104,1.5104
-28.2920,33.4374,1.5258,1.5258
-28.3545,33.4374,1.5104,1.5104
-28.4170,33.4999,1.5258,1.5258
-28.4795,33.5624,1.5104,1.5104
-28.5420,33.5624,1.5117,1.5117
-28.6045,33.6249,1.5117,1.5117
-28.6670,33.6249,1.5104,1.5104
-28.7295,33.6874,1.5258,1.5258
-28.7920,33.6874,1.4909,1.4909
-28.8545,33.7499,1.5117,1.5117
-28.9170,33.8124,1.5117,1.5117
-28.9795,33.8124,1.5104,1.5104
-29.0420,33.8749,1.5258,1.5258
-29.1045,33.8749,1.5104,1.5104
-29.1670,33.9374,1.5258,1.5258
-29.2295,33.9374,1.4909,1.4909
-29.2920,33.9999,1.5117,1.5117
-29.3545,34.0624,1.5104,1.5104
-29.4170,34.0624,1.5104,1.5104
-29.4795,34.1249,1.5117,1.5117
-29.5420,34.1249,1.5104,1.5104
-29.6045,34.1874,1.5258,1.5258
-29.6670,34.2499,1.5104,1.5104
-29.7295,34.2499,1.5117,1.5117
-29.7920,34.3124,1.5117,1.5117
-29.8545,34.3124,1.5104,1.5104
-29.9170,34.3749,1.5258,1.5258
-29.9795,34.3749,1.4909,1.4909
-30.0420,34.4374,1.5117,1.5117
-30.1045,34.4999,1.5104,1.5104
-30.1670,34.4999,1.5104,1.5104
-30.2295,34.5624,1.5117,1.5117
-30.2920,34.5624,1.5104,1.5104
-30.3545,34.6249,1.5258,1.5258
-30.4170,34.6249,1.4909,1.4909
-30.4795,34.6874,1.5117,1.5117
-30.5420,34.7499,1.5104,1.5104
-30.6045,34.7499,1.5104,1.5104
-30.6670,34.8124,1.5117,1.5117
-30.7295,34.8124,1.5104,1.5104
-30.7920,34.8749,1.5258,1.5258
-30.8545,34.9374,1.5104,1.5104
-30.9170,34.9374,1.5117,1.5117
-30.9795,34.9999,1.5117,1.5117
-31.0420,34.9999,1.5104,1.5104
-31.1045,35.0624,1.5258,1.5258
-31.1670,35.0624,1.4909,1.4909
-31.2295,35.1249,1.5117,1.5117
-31.2920,35.1874,1.5104,1.5104
-31.3545,35.1874,1.5104,1.5104
-31.4170,35.2499,1.5117,1.5117
-31.4795,35.2499,1.5104,1.5104
-31.5420,35.3124,1.5258,1.5258
-31.6045,35.3124,1.4909,1.4909
-31.6670,35.3749,1.5117,1.5117
-31.7295,35.4374,1.5104,1.5104
-31.7920,35.4374,1.5104,1.5104
-31.8545,35.4999,1.5117,1.5117
-31.9170,35.4999,1.5104,1.5104
-31.9795,35.5624,1.5258,1.5258
-32.0420,35.6249,1.5104,1.5104
-32.1045,35.6249,1.5117,1.5117
-32.1670,35.6874,1.5117,1.5117
-32.2295,35.6874,1.5104,1.5104
-32.2920,35.7499,1.5258,1.5258
-32.3545,35.7499,1.4909,1.4909
-32.4170,35.8124,1.5117,1.5117
-32.4795,35.8749,1.5104,1.5104
-32.5420,35.8749,1.5104,1.5104
-32.6045,35.9374,1.5117,1.5117
-32.6670,35.9374,1.5104,1.5104
-32.7295,35.9999,1.5258,1.5258
-32.7920,35.9999,1.4909,1.4909
-32.8545,36.0624,1.5117,1.5117
-32.9170,36.1249,1.5117,1.5117
-32.9795,36.1249,1.5104,1.5104
-33.0420,36.1874,1.5258,1.5258
-33.1045,36.1874,1.5104,1.5104
-33.1670,36.2499,1.5258,1.5258
-33.2295,36.3124,1.5104,1.5104
-33.2920,36.3124,1.5117,1.5117
-33.3545,36.3749,1.5117,1.5117
-33.4170,36.3749,1.5104,1.5104
-33.4795,36.4374,1.5258,1.5258
-33.5420,36.4374,1.4909,1.4909
-33.6045,36.4999,1.5117,1.5117
-33.6670,36.5624,1.5104,1.5104
-33.7295,36.5624,1.5104,1.5104
-33.7920,36.6249,1.5117,1.5117
-33.8545,36.6249,1.5104,1.5104
-33.9170,36.6874,1.5258,1.5258
-33.9795,36.6874,1.4909,1.4909
-34.0420,36.7499,1.5117,1.5117
-34.1045,36.8124,1.5117,1.5117
-34.1670,36.8124,1.5104,1.5104
-34.2295,36.8749,1.5258,1.5258
-34.2920,36.8749,1.5104,1.5104
-34.3545,36.9374,1.5258,1.5258
-34.4170,36.9999,1.5104,1.5104
-34.4795,36.9999,1.5117,1.5117
-34.5420,37.0624,1.5117,1.5117
-34.6045,37.0624,1.5104,1.5104
-34.6670,37.1249,1.5258,1.5258
-34.7295,37.1249,1.4909,1.4909
-34.7920,37.1874,1.5117,1.5117
-34.8545,37.2499,1.5104,1.5104
-34.9170,37.2499,1.5104,1.5104
-34.9795,37.3124,1.5117,1.5117
-35.0420,37.3124,1.5104,1.5104
-35.1045,37.3749,1.5258,1.5258
-35.1670,37.3749,1.4909,1.4909
-35.2295,37.4374,1.5117,1.5117
-35.2920,37.4999,1.5117,1.5117
-35.3545,37.4999,1.5104,1.5104
-35.4170,37.5624,1.5258,1.5258
-35.4795,37.5624,1.5104,1.5104
-35.5420,37.6249,1.5258,1.5258
-35.6045,37.6874,1.5104,1.5104
-35.6670,37.6874,1.5117,1.5117
-35.7295,37.7499,1.5117,1.5117
-35.7920,37.7499,1.5104,1.5104
-35.8545,37.8124,1.5258,1.5258
-35.9170,37.8124,1.4909,1.4909
-35.9795,37.8749,1.5117,1.5117
-36.0420,37.9374,1.5104,1.5104
-36.1045,37.9374,1.5104,1.5104
-36.1670,37.9999,1.5117,1.5117
-36.2295,37.9999,1.5104,1.5104
-36.2920,38.0624,1.5258,1.5258
-36.3545,38.0624,1.4909,1.4909
-36.4170,38.1249,1.5117,1.5117
-36.4795,38.1874,1.5117,1.5117
-36.5420,38.1874,1.5104,1.5104
-36.6045,38.2499,1.5258,1.5258
-36.6670,38.2499,1.5104,1.5104
-36.7295,38.3124,1.5258,1.5258
-36.7920,38.3749,1.5104,1.5104
-36.8545,38.3749,1.5117,1.5117
-36.9170,38.4374,1.5117,1.5117
-36.9795,38.4374,1.5104,1.5104
-37.0420,38.4999,1.5258,1.5258
-37.1045,38.4999,1.4909,1.4909
-37.1670,38.5624,1.5117,1.5117
-37.2295,38.6249,1.5104,1.5104
-37.2920,38.6249,1.5104,1.5104
-37.3545,38.6874,1.5117,1.5117
-37.4170,38.6874,1.5104,1.5104
-37.4795,38.7499,1.5258,1.5258
-37.5420,38.7499,1.4909,1.4909
-37.6045,38.8124,1.5117,1.5117
-37.6670,38.8749,1.5117,1.5117
-37.7295,38.8749,1.5104,1.5104
-37.7920,38.9374,1.5258,1.5258
-37.8545,38.9374,1.5104,1.5104
-37.9170,38.9999,1.5258,1.5258
-37.9795,39.0624,1.5104,1.5104
-38.0420,39.0624,1.5117,1.5117
-38.1045,39.1249,1.5117,1.5117
-38.1670,39.1249,1.5104,1.5104
-38.2295,39.1874,1.5258,1.5258
-38.2920,39.1874,1.4909,1.4909
-38.3545,39.2499,1.5117,1.5117
-38.4170,39.3124,1.5104,1.5104
-38.4795,39.3124,1.5104,1.5104
-38.5420,39.3749,1.5117,1.5117
-38.6045,39.3749,1.5104,1.5104
-38.6670,39.4374,1.5258,1.5258
-38.7295,39.4374,1.4909,1.4909
-38.7920,39.4999,1.5117,1.5117
-38.8545,39.5624,1.5117,1.5117
-38.9170,39.5624,1.5104,1.5104
-38.9795,39.6249,1.5258,1.5258
-39.0420,39.6249,1.5104,1.5104
-39.1045,39.6874,1.5258,1.5258
-39.1670,39.7499,1.5104,1.5104
-39.2295,39.7499,1.5117,1.5117
-39.2920,39.8124,1.5117,1.5117
-39.3545,39.8124,1.5104,1.5104
-39.4170,39.8749,1.5258,1.5258
-39.4795,39.8749,1.4909,1.4909
-39.5420,39.9374,1.5117,1.5117
-39.6045,39.9999,1.5104,1.5104
-39.6670,39.9999,1.5104,1.5104
-39.7295,40.0624,1.5117,1.5117
-39.7920,40.0624,1.5104,1.5104
-39.8545,40.1249,1.5258,1.5258
-39.9170,40.1874,1.5104,1.5104
-39.9795,40.1874,1.5117,1.5117
-40.0420,40.2499,1.5117,1.5117
-40.1045,40.2499,1.5104,1.5104
-40.1670,40.3124,1.5258,1.5258
-40.2295,40.3749,1.5104,1.5104
-40.2920,40.4374,1.4817,1.4817
-40.3545,40.4999,1.4577,1.4577
-40.4170,40.4999,1.4909,1.4909
-40.4795,40.5624,1.4751,1.4751
-40.5420,40.6249,1.4644,1.4644
-40.6045,40.6249,1.4644,1.4644
-40.6670,40.6874,1.4591,1.4591
-40.7295,40.7499,1.4577,1.4577
-40.7920,40.8124,1.4389,1.4389
-40.8545,40.8749,1.4252,1.4252
-40.9170,40.9374,1.3975,1.3975
-40.9170,40.9999,1.4266,1.4266
-40.9795,41.0624,1.4045,1.4045
-41.0420,41.1249,1.3835,1.3835
-41.0420,41.1874,1.4045,1.4045
-41.0420,41.2499,1.3877,1.3877
-41.1045,41.3124,1.3975,1.3975
-41.1045,41.3749,1.3722,1.3722
-41.1045,41.4374,1.3419,1.3419
-41.1045,41.4999,1.3140,1.3140
-41.1670,41.5624,1.3419,1.3419
-41.1670,41.6249,1.3140,1.3140
